expid;expname;nCardsexp;dataexp;
YS15;2-Player Starter Deck Yuya & Declan;42 Cards;28th May;2015
ZTIN;2013 Zexal Collection Tin;24 Cards;1st March;2013
CT11;2014 Mega-Tins;6 Cards;28th August;2014
MP14;2014 Mega-Tins Mega-Pack;247 Cards;28th August;2014
MP15;2015 Mega-Tin Mega Pack;247 Cards;17th September;2015
CT12;2015 Mega-Tins;6 Cards;17th September;2015
MP16;2016 Mega-Tin Mega Pack;239 Cards;1st September;2016
CT13;2016 Mega-Tins;12 Cards;1st September;2016
MP17;2017 Mega-Tin Mega Pack;239 Cards;24th August;2017
CT14;2017 Mega-Tins;10 Cards;24th August;2017
MP18;2018 Mega-Tin Mega Pack;233 Cards;30th August;2018
CT15;2018 Mega-Tins;10 Cards;30th August;2018
TN19;2019 Gold Sarcophagus Tin;14 Cards;29th August;2019
MP19;2019 Gold Sarcophagus Tin Mega Pack;270 Cards;29th August;2019
TN20;2020 Tin of Lost Memories;0 Cards;27th August;2020
MP20;2020 Tin of Lost Memories Mega Pack;249 Cards;27th August;2020
MP21;2021 Tin of Ancient Battles;258 Cards;30th September;2021
MP22;2022 Tin of the Pharaoh's Gods;275 Cards;15th September;2022
20TH-JPB;20th Anniversary Duelist Box;50 Cards;22nd December;2018
20TH-C;20th Anniversary Legend Collection;200 Cards;9th February;2019
WP01;20th Anniversary Legend Selection;3 Cards;28th March;2020
VP18;20th Anniversary Legendary Dragons;4 Cards;21st May;2018
20AP-1;20th Anniversary Pack 1st Wave;51 Cards;17th December;2016
20AP-2;20th Anniversary Pack 2nd Wave;51 Cards;11th February;2017
VP19;20th Anniversary Secret Selection;3 Cards;1st August;2019
20TH-S;20th Anniversary Set;1 Cards;18th August;2018
VP15;20th Legendary Collection;5 Cards;28th May;2015
VP16;20th Rival Collection;4 Cards;21st July;2016
20CP-JPC;20th Secret Rare Challenge Pack;10 Cards;20th February;2019
20CP-JPF;20th Secret Rare Final Challenge Pack;20 Cards;11th January;2020
20CP-JPS;20th Secret Rare Special Pack;10 Cards;9th February;2019
25TH;25th Anniversary;0 Cards;13th July;2023
YMP1;3D Bonds Beyond Time Movie Pack;11 Cards;1st February;2011
YDT1;5D's Duel Transer Promotional Cards;6 Cards;1st December;2010
YF0X;5D's Manga Promos;9 Cards;1st June;2011
WC11;5D's Over the Nexus Promotional Cards;6 Cards;1st April;2011
WC10;5D's Reverse of Arcadia Promotional Cards;7 Cards;1st April;2010
WC09;5D's Stardust Accelerator Promotional Cards;6 Cards;1st April;2009
TF04;5D's Tag Force 4 Promotional Cards;6 Cards;1st November;2009
TF05;5D's Tag Force 5 Promotional Cards;6 Cards;1st October;2010
ABPF;Absolute Powerforce;115 Cards;1st February;2010
ABPF-JP;Absolute Powerforce (Japanese);0 Cards;14th November;2009
ABYR;Abyss Rising;116 Cards;1st November;2012
ABYR-JP;Abyss Rising (Japanese);0 Cards;21st July;2012
DEM4;Advanced Demo Deck Extra Pack;10 Cards;6th January;2018
AC11;Advent Calendar 2011;24 Cards;1st October;2011
AC14;Advent Calendar 2014;24 Cards;16th October;2014
AC18;Advent Calendar 2018;24 Cards;25th October;2018
AC19;Advent Calendar 2019;24 Cards;26th September;2019
302;Advent of Union;0 Cards;18th July;2002
AMDE;Amazing Defenders;75 Cards;19th January;2023
ANGU;Ancient Guardians;75 Cards;6th May;2021
ANPR;Ancient Prophecy;115 Cards;1st September;2009
ANPR-JP;Ancient Prophecy (Japanese);0 Cards;18th April;2009
AST;Ancient Sanctuary;112 Cards;1st May;2004
AC01;Animation Chronicle 2021;98 Cards;12th June;2021
AC02;Animation Chronicle 2022;98 Cards;11th June;2022
YAP1;Anniversary Pack;9 Cards;1st December;2008
YAXX;ARC-V Manga Promos;7 Cards;6th April;2014
AP08;Astral Pack Eight;27 Cards;23rd October;2015
AP05;Astral Pack Five;26 Cards;31st July;2014
AP04;Astral Pack Four;26 Cards;5th February;2014
AP01;Astral Pack One;25 Cards;1st December;2012
AP07;Astral Pack Seven;27 Cards;4th June;2015
AP06;Astral Pack Six;28 Cards;12th December;2014
AP03;Astral Pack Three;26 Cards;13th September;2013
AP02;Astral Pack Two;25 Cards;1st April;2013
BNZ;Banzai Promos!;2 Cards;1st December;2000
BACH;Battle of Chaos;107 Cards;10th February;2022
BACH-JP;Battle of Chaos (OCG);127 Cards;16th October;2021
BP02;Battle Pack 2: War of the Giants;427 Cards;1st June;2013
BPW2;Battle Pack 2: War of the Giants - Round 2;103 Cards;17th January;2014
BP03;Battle Pack 3: Monster League;457 Cards;1st August;2014
BATT;Battle Pack Tournament Prize Cards;20 Cards;1st May;2012
BP01;Battle Pack: Epic Dawn;440 Cards;1st May;2012
BLAR;Battles of Legend: Armageddon;94 Cards;23rd July;2020
BLCR;Battles of Legend: Crystal Revenge;107 Cards;17th November;2022
BLHR;Battles of Legend: Hero's Revenge;94 Cards;11th July;2019
BLLR;Battles of Legend: Light's Revenge;80 Cards;6th July;2017
BLMR;Battles of Legend: Monstrous Revenge;0 Cards;22nd June;2023
BLRR;Battles of Legend: Relentless Revenge;105 Cards;28th June;2018
BE1;Beginner's Edition 1;0 Cards;24th June;2004
BE01;Beginner's Edition 1 (2011);0 Cards;14th May;2011
BE2;Beginner's Edition 2;0 Cards;9th December;2004
BE02;Beginner's Edition 2 (2011);0 Cards;13th August;2011
BP1;Beginners Pack;0 Cards;5th February;2004
BLVO;Blazing Vortex;106 Cards;4th February;2021
BLVO-JP;Blazing Vortex (OCG);126 Cards;23rd October;2020
BC;Booster Chronicle;0 Cards;30th August;2001
BPT-1;Booster Pack Collectors Tin 2003;0 Cards;16th January;2003
BPT-2;Booster Pack Collectors Tin 2004;0 Cards;21st January;2004
BPT-JP3;Booster Pack Collectors Tin 2005;0 Cards;20th January;2005
BPT-JP4;Booster Pack Collectors Tin 2006;0 Cards;19th January;2006
BPCT;Booster Pack Collectors Tin 2007;0 Cards;18th January;2007
BPT;Booster Pack Tin;12 Cards;4th October;2002
SPDS;Booster SP: Destiny Soldiers;75 Cards;6th August;2016
SPFE;Booster SP: Fusion Enforcers;75 Cards;12th November;2016
SPHR;Booster SP: Highspeed Riders;75 Cards;22nd August;2015
SPRG;Booster SP: Raging Masters;102 Cards;9th August;2014
SPTR;Booster SP: Tribe Force;102 Cards;11th October;2014
SPWR;Booster SP: Wing Raiders;75 Cards;14th November;2015
BOSH;Breakers of Shadow;105 Cards;14th January;2016
BOSH-JP;Breakers of Shadow (OCG);103 Cards;17th October;2015
BROL;Brothers of Legend;95 Cards;2nd December;2021
BODE;Burst of Destiny;106 Cards;4th November;2021
BODE-JP;Burst of Destiny (OCG);127 Cards;17th July;2021
CSL;Card Sports League;0 Cards;1st December;2000
CCG;CCG Championship Series;0 Cards;1st January;2000
303;Champion of Black Magic;0 Cards;19th September;2002
CP08;Champion Pack: Game Eight;20 Cards;5th January;2009
CP05;Champion Pack: Game Five;20 Cards;8th January;2008
CP04;Champion Pack: Game Four;20 Cards;6th September;2007
CP01;Champion Pack: Game One;20 Cards;11th November;2006
CP07;Champion Pack: Game Seven;20 Cards;1st September;2008
CP06;Champion Pack: Game Six;20 Cards;12th May;2008
CP03;Champion Pack: Game Three;20 Cards;15th May;2007
CP02;Champion Pack: Game Two;20 Cards;6th February;2007
CHIM;Chaos Impact;109 Cards;24th October;2019
CHIM-JP;Chaos Impact (OCG);119 Cards;13th July;2019
CIBR;Circuit Break;105 Cards;19th October;2017
CIBR-JP;Circuit Break (OCG);103 Cards;8th July;2017
CORE;Clash of Rebellions;111 Cards;6th August;2015
CORE-JP;Clash of Rebellions (OCG);113 Cards;25th April;2015
COTD;Code of the Duelist;105 Cards;3rd August;2017
COTD-JP;Code of the Duelist (OCG);103 Cards;15th February;2017
CP20;Collection Pack 2020;64 Cards;20th June;2020
CP19;Collection Pack: Duelist of Revolution Version;55 Cards;18th May;2019
CT1;Collector's Tins 2004;6 Cards;1st September;2004
CT2;Collector's Tins 2005;6 Cards;1st September;2005
CT03;Collector's Tins 2006;6 Cards;11th September;2006
CT04;Collector's Tins 2007;6 Cards;29th August;2007
CT05;Collector's Tins 2008;7 Cards;1st August;2008
CT06;Collector's Tins 2009;8 Cards;1st August;2009
CT07;Collector's Tins 2010;25 Cards;1st August;2010
CT08;Collector's Tins 2011;18 Cards;1st August;2011
CT09;Collector's Tins 2012;23 Cards;1st August;2012
CT10;Collector's Tins 2013;18 Cards;29th August;2013
CP17;Collectors Pack 2017;54 Cards;13th May;2017
CP18;Collectors Pack 2018;54 Cards;12th May;2018
CPD1;Collectors Pack: Duelist of Destiny Version;54 Cards;16th May;2015
CPF1;Collectors Pack: Duelist of Flash Version;54 Cards;14th May;2016
CPL1;Collectors Pack: Duelist of Legend Version;61 Cards;17th May;2014
CPZ1;Collectors Pack: ZEXAL Version;61 Cards;10th August;2013
CT09-JP;Collectors Tin 2009;0 Cards;17th January;2009
306;Controller of Chaos;0 Cards;24th April;2003
CBLZ;Cosmo Blazer;115 Cards;1st January;2013
CBLZ-JP;Cosmo Blazer (Japanese);0 Cards;17th November;2012
CRMS;Crimson Crisis;114 Cards;1st March;2009
CRMS-JP;Crimson Crisis (Japanese);0 Cards;15th November;2008
CROS;Crossed Souls;111 Cards;14th May;2015
CROS-JP;Crossed Souls (OCG);113 Cards;14th February;2015
CSOC;Crossroads of Chaos;114 Cards;1st November;2008
CSOC-JP;Crossroads of Chaos (Japanese);0 Cards;19th July;2008
CA;Curse of Anubis;0 Cards;28th September;2000
CDIP;Cyberdark Impact;85 Cards;15th November;2006
CDIP-JP;Cyberdark Impact (Japanese);0 Cards;10th August;2006
CYHO;Cybernetic Horizon;105 Cards;26th July;2018
CYHO-JP;Cybernetic Horizon (OCG);119 Cards;14th April;2018
CRV;Cybernetic Revolution;85 Cards;1st August;2005
CRV-JP;Cybernetic Revolution (Japanese);0 Cards;26th May;2005
CYAC;Cyberstorm Access;0 Cards;4th May;2023
CYAC-JP;Cyberstorm Access (OCG);126 Cards;14th January;2023
DB1;Dark Beginning 1;250 Cards;1st January;2005
DB2;Dark Beginning 2;250 Cards;1st June;2005
DCE;Dark Ceremony Edition;0 Cards;23rd March;2000
DCR;Dark Crisis;212 Cards;1st December;2003
DDS;Dark Duel Stories;6 Cards;19th March;2002
DLG1;Dark Legends;113 Cards;1st November;2008
DANE;Dark Neostorm;105 Cards;2nd May;2019
DANE-JP;Dark Neostorm (OCG);119 Cards;12th January;2019
DR1;Dark Revelation 1;267 Cards;19th March;2005
DR2;Dark Revelation 2;224 Cards;1st October;2005
DR3;Dark Revelation 3;240 Cards;25th November;2006
DR04;Dark Revelation 4;245 Cards;1st November;2007
DASA;Dark Saviors;60 Cards;24th May;2018
DABL;Darkwing Blast;106 Cards;20th October;2022
DABL-JP;Darkwing Blast (OCG);127 Cards;16th July;2022
DOD;Dawn of Destiny;7 Cards;12th November;2004
DAMA;Dawn of Majesty;106 Cards;12th August;2021
DAMA-JP;Dawn of Majesty (OCG);128 Cards;17th April;2021
DBAD;Deck Build Pack: Amazing Defenders;78 Cards;20th August;2022
DBAG;Deck Build Pack: Ancient Guardians;78 Cards;6th March;2021
DBDS;Deck Build Pack: Dark Savers;78 Cards;24th February;2018
DBGI;Deck Build Pack: Genesis Impactors;76 Cards;12th September;2020
DBGC;Deck Build Pack: Grand Creators;78 Cards;28th August;2021
DBHS;Deck Build Pack: Hidden Summoners;78 Cards;4th August;2018
DBIC;Deck Build Pack: Infinity Chasers;78 Cards;23rd February;2019
DBMF;Deck Build Pack: Mystic Fighters;78 Cards;3rd August;2019
DBSS;Deck Build Pack: Secret Slayers;78 Cards;7th March;2020
DBSW;Deck Build Pack: Spirit Warriors;78 Cards;11th August;2017
DBTM;Deck Build Pack: Tactical Masters;78 Cards;19th March;2022
DC01;Deck Custom Pack 01;67 Cards;19th April;2014
DEM2;Demo Deck 2015;20 Cards;30th March;2015
DEM3;Demo Deck 2016;20 Cards;14th January;2016
DEM1;Demo Pack;20 Cards;1st February;2011
DBT;Destiny Board Traveler;3 Cards;16th September;2005
DESO;Destiny Soldiers;60 Cards;17th November;2016
DBLE;Dimension Box Limited Edition;49 Cards;26th November;2016
DIFO;Dimension Force;106 Cards;19th May;2022
DIFO-JP;Dimension Force (OCG);127 Cards;15th January;2022
DOCS;Dimension of Chaos;113 Cards;5th November;2015
DOCS-JP;Dimension of Chaos (OCG);108 Cards;18th July;2015
DRLG;Dragons of Legend;51 Cards;24th April;2014
DRL2;Dragons of Legend 2;45 Cards;16th July;2015
DLCS;Dragons of Legend: The Complete Series;269 Cards;10th September;2020
DRL3;Dragons of Legend: Unleashed;73 Cards;18th August;2016
DUDE;Duel Devastator;56 Cards;10th October;2019
DDY1;Duel Disk - Yusei Version Promotional Cards;1 Cards;1st December;2009
DMG;Duel Master's Guide;1 Cards;28th October;2003
DUOV;Duel Overload;106 Cards;19th March;2020
DUPO;Duel Power;106 Cards;4th April;2019
DR01;Duel Royale Deck Set EX;103 Cards;10th July;2021
DR02;Duel Royale Deck Set EX Round 2;125 Cards;29th April;2022
DT01;Duel Terminal 1;100 Cards;1st January;2010
DT02;Duel Terminal 2;100 Cards;1st May;2010
DT03;Duel Terminal 3;100 Cards;1st September;2010
DT04;Duel Terminal 4;100 Cards;1st January;2011
DT05;Duel Terminal 5;100 Cards;1st May;2011
DT06;Duel Terminal 6;100 Cards;1st February;2012
DT07;Duel Terminal 7;100 Cards;1st September;2012
DTP1;Duel Terminal Preview;31 Cards;1st August;2008
DUEA;Duelist Alliance;114 Cards;14th August;2014
DUEA-JP;Duelist Alliance (OCG);97 Cards;19th April;2014
DB12;Duelist Box 2012;0 Cards;26th November;2011
DE01;Duelist Edition Volume 1;0 Cards;12th May;2012
DE02;Duelist Edition Volume 2;0 Cards;12th May;2012
DEÃŸ3;Duelist Edition Volume 3;0 Cards;11th August;2012
DE04;Duelist Edition Volume 4;0 Cards;11th August;2012
VS15;Duelist Entry Deck VS;58 Cards;21st March;2015
DF16;Duelist Festival 2016 - Promotion Pack;12 Cards;11th February;2016
DL09;Duelist League 09;80 Cards;1st August;2009
DL11;Duelist League 11;80 Cards;1st December;2010
DL12;Duelist League 12;80 Cards;1st June;2011
DL13;Duelist League 13;80 Cards;1st December;2011
DL14;Duelist League 14;80 Cards;1st June;2012
DL15;Duelist League 15;80 Cards;1st December;2012
DL16;Duelist League 16;80 Cards;1st June;2013
DL17;Duelist League 17;80 Cards;13th December;2013
DL18;Duelist League 18;80 Cards;27th June;2014
DLDI;Duelist League Demo 2010;5 Cards;1st August;2009
DULG;Duelist League Promos Upperdeck;0 Cards;1st December;2000
DL1;Duelist League Series 1;6 Cards;1st January;2003
DL10;Duelist League Series 10;1 Cards;28th April;2006
DL2;Duelist League Series 2;2 Cards;1st December;2003
DL3;Duelist League Series 3;1 Cards;1st March;2004
DL4;Duelist League Series 4;1 Cards;1st June;2004
DL5;Duelist League Series 5;1 Cards;1st September;2004
DL6;Duelist League Series 6;1 Cards;1st December;2004
DL7;Duelist League Series 7;1 Cards;1st April;2005
DL8;Duelist League Series 8;1 Cards;30th June;2005
DL9;Duelist League Series 9;1 Cards;3rd January;2006
DL1-JP;Duelist Legacy Volume 1;0 Cards;20th June;2002
DL2-JP;Duelist Legacy Volume 2;0 Cards;22nd August;2002
DL3-JP;Duelist Legacy Volume 3;0 Cards;12th December;2002
DL4-JP;Duelist Legacy Volume 4;0 Cards;23rd January;2003
DL5-JP;Duelist Legacy Volume 5;0 Cards;24th April;2003
DOR;Duelist of the Roses;6 Cards;26th September;2003
DPK;Duelist Pack 1&2 Special Edition;3 Cards;9th March;2007
DPC1-JP;Duelist Pack Collection;0 Cards;12th January;2008
DPCT;Duelist Pack Collection Tin 2010;14 Cards;1st March;2010
DPC5;Duelist Pack Collection Tin 2011;4 Cards;1st March;2011
DP05;Duelist Pack: Aster Phoenix;30 Cards;7th February;2007
DP05-JP;Duelist Pack: Aster Phoenix (Japanese);0 Cards;26th October;2006
DPBC;Duelist Pack: Battle City;47 Cards;10th December;2015
DP16;Duelist Pack: Battle City (OCG);46 Cards;6th June;2015
DP2;Duelist Pack: Chazz Princeton;30 Cards;8th February;2006
DP2-JP;Duelist Pack: Chazz Princeton (Japanese);0 Cards;20th October;2005
DP11;Duelist Pack: Crow;30 Cards;1st May;2011
DP11-JP;Duelist Pack: Crow (Japanese);0 Cards;16th October;2010
DPDG;Duelist Pack: Dimensional Guardians;45 Cards;25th May;2017
DP24;Duelist Pack: Duelists of Gloom;59 Cards;30th May;2020
DP27;Duelist Pack: Duelists of Pyroxene;58 Cards;21st May;2022
DP26;Duelist Pack: Duelists of the Abyss;58 Cards;20th November;2021
DP25;Duelist Pack: Duelists of Whirlwind;58 Cards;22nd May;2021
DP1;Duelist Pack: Jaden Yuki;30 Cards;8th February;2006
DP1-JP;Duelist Pack: Jaden Yuki (Japanese);0 Cards;20th October;2005
DP03;Duelist Pack: Jaden Yuki 2;30 Cards;7th February;2007
DP03-JP;Duelist Pack: Jaden Yuki 2 (Japanese);0 Cards;26th October;2006
DP06;Duelist Pack: Jaden Yuki 3;25 Cards;22nd January;2008
DP06-JP;Duelist Pack: Jaden Yuki 3 (Japanese);0 Cards;20th October;2007
DP07;Duelist Pack: Jesse Anderson;25 Cards;22nd January;2008
DP07-JP;Duelist Pack: Jesse Anderson (Japanese);0 Cards;20th October;2007
DPKB;Duelist Pack: Kaiba;40 Cards;1st April;2010
DP15;Duelist Pack: Kastle Siblings;35 Cards;19th October;2013
DP13;Duelist Pack: Kite;0 Cards;15th September;2012
DP18;Duelist Pack: Legend Duelist;51 Cards;3rd June;2017
DP19;Duelist Pack: Legend Duelist 2;51 Cards;11th November;2017
DP20;Duelist Pack: Legend Duelist 3;56 Cards;9th June;2018
DP21;Duelist Pack: Legend Duelist 4;56 Cards;10th November;2018
DP22;Duelist Pack: Legend Duelist 5;56 Cards;8th June;2019
DP23;Duelist Pack: Legend Duelist 6;56 Cards;9th November;2019
DP17;Duelist Pack: Pharaoh's Memories;46 Cards;4th June;2016
DPRP;Duelist Pack: Rivals of the Pharaoh;46 Cards;15th September;2016
DPYG;Duelist Pack: Yugi;30 Cards;1st July;2009
DP12;Duelist Pack: Yuma;0 Cards;15th October;2011
DP14;Duelist Pack: Yuma 2: Gogogo & Dododo;35 Cards;21st September;2013
DP08-JP;Duelist Pack: Yusei (Japanese);0 Cards;18th October;2008
DP09-JP;Duelist Pack: Yusei 2 (Japanese);0 Cards;17th October;2009
DP10-JP;Duelist Pack: Yusei 3 (Japanese);0 Cards;16th October;2010
DP08;Duelist Pack: Yusei Fudo;30 Cards;1st February;2009
DP09;Duelist Pack: Yusei Fudo 2;30 Cards;1st January;2010
DP10;Duelist Pack: Yusei Fudo 3;30 Cards;1st January;2011
DP04;Duelist Pack: Zane Truesdale;30 Cards;7th March;2007
DP04-JP;Duelist Pack: Zane Truesdale (Japanese);0 Cards;26th October;2006
DREV;Duelist Revolution;114 Cards;1st August;2010
DREV-JP;Duelist Revolution (Japanese);0 Cards;17th April;2010
15AX-Y;Duelist Road -Piece of Memory- Side: Yami Yugi;119 Cards;10th January;2015
15AX-M;Duelist Road -Piece of Memory- Side: Yugi Muto;118 Cards;10th January;2015
DUSA;Duelist Saga;100 Cards;30th March;2017
DS13;Duelist Sets 2012;0 Cards;23rd November;2012
DS14;Duelist Sets 2013;75 Cards;23rd November;2013
EGO1;Egyptian God Deck: Obelisk the Tormentor;35 Cards;17th June;2021
EGS1;Egyptian God Deck: Slifer the Sky Dragon;38 Cards;17th June;2021
EEN;Elemental Energy;89 Cards;1st November;2005
EEN-JP;Elemental Energy (Japanese);0 Cards;11th August;2005
EHC1;Elemental Hero Collection 1;4 Cards;1st November;2007
EHC2;Elemental Hero Collection 2;4 Cards;1st November;2007
EOJ;Enemy of Justice;85 Cards;13th May;2006
EOJ-JP;Enemy of Justice (Japanese);0 Cards;16th February;2006
EN01;Entry Pack;20 Cards;15th April;2015
EDS;Eternal Duelist's Soul;3 Cards;15th October;2002
ETCO;Eternity Code;106 Cards;30th April;2020
ETCO-JP;Eternity Code (OCG);119 Cards;11th January;2020
EX-JP;EX Starter Box;0 Cards;16th December;1999
EX;EX-R Starter Box;0 Cards;23rd November;2000
EP1;Exclusive Pack 1;9 Cards;1st August;2004
EE1;Expert Edition Volume 1;0 Cards;23rd September;2004
EE2;Expert Edition Volume 2;0 Cards;17th March;2005
EE3;Expert Edition Volume 3;0 Cards;8th December;2005
EE04;Expert Edition Volume 4;0 Cards;22nd September;2007
EXP1;Extra Pack;0 Cards;13th September;2008
EP12;Extra Pack 2012;0 Cards;13th October;2012
EP15;Extra Pack 2015;86 Cards;19th September;2015
EP16;Extra Pack 2016;56 Cards;10th September;2016
EP17;Extra Pack 2017;54 Cards;9th September;2017
EP18;Extra Pack 2018;55 Cards;8th September;2018
EP19;Extra Pack 2019;73 Cards;14th September;2019
EXP2;Extra Pack Volume 2;0 Cards;19th September;2009
EXP3;Extra Pack Volume 3;0 Cards;18th September;2010
EXP4;Extra Pack Volume 4;0 Cards;17th September;2011
EP14;Extra Pack: Knights of Order;59 Cards;23rd September;2014
EP13;Extra Pack: Sword of Knights;0 Cards;18th May;2013
EXFO;Extreme Force;105 Cards;1st February;2018
EXFO-JP;Extreme Force (OCG);103 Cards;14th October;2017
EXVC;Extreme Victory;114 Cards;1st May;2011
EXVC-JP;Extreme Victory (Japanese);0 Cards;11th February;2011
FFSE;Fire Fists Special Edition;1 Cards;4th April;2014
FIGA;Fists of the Gadgets;60 Cards;22nd August;2019
FLOD;Flames of Destruction;105 Cards;3rd May;2018
FLOD-JP;Flames of Destruction (OCG);103 Cards;12th January;2018
FET;Flaming Eternity;85 Cards;1st May;2005
